Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
912,"Mauldin & Jenkins, CPAs, LLC",Economic Driver,Accounting Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
913,Bert Maxwell Furniture Company,Basic Membership,Shopping & Retail,Bibb,Bibb,31201,True,False,False,False,True,True,True
916,Atrium Health Navicent,Regional Influencer,Health Care & Medical Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
918,Atrium Health Navicent Urgent Care Northwest,Additional Listing - Cornerstone (Unpaid),Healthcare - Vascular & Interventional,Bibb,Bibb,31210,True,False,True,False,True,True,True
919,The Wellness Center,Additional Listing - Cornerstone (Unpaid),Self Care & Wellness,Bibb,Bibb,31210,True,False,True,False,True,True,True
922,"Central Georgia Home Health Services, Inc.",Additional Listing - Cornerstone (Unpaid),Health Care & Medical Services,Bibb,Bibb,31206,True,False,True,False,True,True,True
925,"Navicent Health Foundation, Inc.",Basic Membership,Foundations,Bibb,Bibb,31210,True,False,False,False,True,True,True
927,Macon-Bibb County Hospital Authority,Additional Listing - Cornerstone (Unpaid),Health Care & Medical Services,Bibb,Bibb,31201,True,False,True,False,True,True,True
929,Atrium Health Navicent Business Office,Additional Listing - Cornerstone (Unpaid),Healthcare - Vascular & Interventional,Bibb,Bibb,31204,True,False,True,False,True,True,True
930,Atrium Health Navicent Imaging & Laboratory,Additional Listing - Cornerstone (Unpaid),Healthcare - Vascular & Interventional,Bibb,Bibb,31204,True,False,True,False,True,True,True
932,"Children's Hospital, Atrium Health Navicent",Additional Listing - Cornerstone (Unpaid),Health Care & Medical Services,Bibb,Bibb,31201,True,False,True,False,True,True,True
935,Scott's Health Mart Pharmacy #1,Basic Membership,Health Care & Medical Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
938,The Mentors Project of Bibb County,Basic Membership,Youth Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
939,River Edge Behavioral Health,Leading Investor,Health Care & Medical Services,Bibb,Bibb,31217,True,False,False,False,True,True,True
940,Mercer University,Key Stakeholder,Education,Bibb,Bibb,31207,True,False,False,False,True,True,True
941,Mercer Engineering Research Center,Additional Listing - Cornerstone (Unpaid),"Architects, Engineers & Planners",Houston,Houston,31088,True,False,True,False,False,True,True
944,Merrill Lynch Wealth Management,Economic Driver,Financial Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
947,Methodist Home for Children & Youth,Basic Membership,Youth Services,Bibb,Bibb,31204,True,True,False,False,True,True,True
958,"Middle Georgia Consortium, Inc.",Basic Membership,Non-Profit Organizations,Bibb,Bibb,31088,True,False,False,False,True,True,True
959,"Girl Scouts of Historic GA, Inc.",Basic Membership,Non-Profit Organizations,Bibb,Bibb,31052,True,False,False,False,True,True,True
974,Midwestern Industries,Basic Membership,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31206,True,False,False,False,True,True,True
978,Minton Lawn & Garden,Basic Membership,Construction & Building Services,Bibb,Bibb,31206,True,False,False,False,True,True,True
998,Mount De Sales Academy,Basic Membership,Education,Bibb,Bibb,31201,True,False,False,False,True,True,True
999,Mulberry Street Investment Company,Basic Membership,Real Estate,Bibb,Bibb,31201,True,False,False,False,True,True,True
1001,"Murphey, Taylor & Ellis Comm. Real Estate",Basic Membership,Real Estate,Bibb,Bibb,31204,True,False,False,False,True,True,True
1007,Museum of Aviation Foundation,Basic Membership,"Arts, Entertainment & Attractions",Houston,Houston,31098,True,False,False,False,False,True,True
1008,Museum of Arts & Sciences,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31210,True,False,False,False,True,True,True
1010,The Mutual Financial Group,Basic Membership,Financial Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
